Info 0    [19:33:40.175] Starting TS Server
Info 1    [19:33:40.180] Version: 4.7.4
Info 2    [19:33:40.180] Arguments: /usr/bin/node /usr/lib/node_modules/typescript/lib/tsserver.js --logFile /home/pac/rhys-normal/ts-auto-guard/src/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/77cc05c4ca8ebf312f2b3ad94e1188ee/tscancellation*
Info 3    [19:33:40.180] Platform: linux NodeVersion: 18 CaseSensitive: true
Info 4    [19:33:40.180] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [19:33:40.206] Format host information updated
Info 6    [19:33:40.220] Search path: /home/pac/rhys-normal/ts-auto-guard/src
Info 7    [19:33:40.220] For info: /home/pac/rhys-normal/ts-auto-guard/src/index.ts :: No config files found.
Info 8    [19:33:40.226] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [19:33:42.459] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 2233.247764000669ms
Info 10   [19:33:42.459] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [19:33:42.459] 	Files (19)

Info 12   [19:33:42.459] -----------------------------------------------
Info 13   [19:34:02.068] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [19:34:02.126] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 57.17915900051594ms
Info 15   [19:34:02.126] Different program with same set of files
Info 16   [19:34:02.750] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [19:34:02.790] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 39.67077700048685ms
Info 18   [19:34:02.790] Different program with same set of files
Info 19   [19:34:03.824] Format host information updated
Info 20   [19:34:05.188] Format host information updated
Info 21   [19:34:05.525] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [19:34:05.567] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 42.21304199844599ms
Info 23   [19:34:05.567] Different program with same set of files
Info 24   [19:34:12.208] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 25   [19:34:12.233] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 24.645873999223113ms
Info 26   [19:34:12.233] Different program with same set of files
Info 27   [19:34:12.386] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [19:34:12.413] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 26.655956000089645ms
Info 29   [19:34:12.413] Different program with same set of files
Info 30   [19:34:13.119] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [19:34:13.171] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 51.698466999456286ms
Info 32   [19:34:13.171] Different program with same set of files
Info 33   [19:34:13.175] getCompletionData: Get current token: 0.0400409996509552
Info 34   [19:34:13.175] getCompletionData: Is inside comment: 0.22305899858474731
Info 35   [19:34:13.176] getCompletionData: Get previous token: 0.2329959999769926
Info 36   [19:34:13.177] getCompletionsAtPosition: isCompletionListBlocker: 0.3989209998399019
Info 37   [19:34:13.355] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 38   [19:34:13.375] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 20.243666000664234ms
Info 39   [19:34:13.375] Different program with same set of files
Info 40   [19:34:13.926] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [19:34:13.947] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 20.798719000071287ms
Info 42   [19:34:13.947] Different program with same set of files
Info 43   [19:34:14.539] Format host information updated
Info 44   [19:34:15.949] Format host information updated
Info 45   [19:34:16.277] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [19:34:16.297] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 20.05242899991572ms
Info 47   [19:34:16.297] Different program with same set of files
Info 48   [19:34:42.879] DirectoryWatcher:: Triggered with /home/pac/rhys-normal/ts-auto-guard/node_modules :: WatchInfo: /home/pac/rhys-normal/ts-auto-guard/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 49   [19:34:42.880] Elapsed:: 0.2747809998691082ms DirectoryWatcher:: Triggered with /home/pac/rhys-normal/ts-auto-guard/node_modules :: WatchInfo: /home/pac/rhys-normal/ts-auto-guard/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 50   [19:34:42.880] DirectoryWatcher:: Triggered with /home/pac/rhys-normal/ts-auto-guard/node_modules/@types :: WatchInfo: /home/pac/rhys-normal/ts-auto-guard/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 51   [19:34:42.880] Elapsed:: 0.3541700001806021ms DirectoryWatcher:: Triggered with /home/pac/rhys-normal/ts-auto-guard/node_modules/@types :: WatchInfo: /home/pac/rhys-normal/ts-auto-guard/node_modules/@types 1 undefined Project: /dev/null/inferredProject1* WatchType: Type roots
Info 52   [19:34:43.130] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [19:34:43.161] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: true structureIsReused:: SafeModules Elapsed: 30.371356999501586ms
Info 54   [19:34:43.161] Different program with same set of files
Info 55   [19:34:45.631] Before ensureProjectForOpenFiles:
Info 56   [19:34:45.631] After ensureProjectForOpenFiles:
Info 57   [19:34:45.632] got projects updated in background, updating diagnostics for /home/pac/rhys-normal/ts-auto-guard/src/index.ts
Info 58   [19:34:47.552] DirectoryWatcher:: Triggered with /home/pac/rhys-normal/ts-auto-guard/node_modules :: WatchInfo: /home/pac/rhys-normal/ts-auto-guard/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
